source,country,country_name,product_id,product_name,product_code,emission_factor_per_meur,unit,base_year,tier
EXIOBASE,TW,台灣,144,Oxygen Steel Furnace Gas,C_MOSG,10110867.587474711,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,145,Gas Works Gas,C_MGWG,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,146,Biogas,C_MBIO,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,147,Distribution services of gaseous fuels through mains,C_GASD,10110847.452999704,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,148,Steam and hot water supply services,C_HWAT,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,149,"Collected and purified water, distribution services of water (41)",C_WATR,21658.649729443463,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,150,Construction work (45),C_CONS,5066.965929084876,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,151,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",C_CONW,0.0,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,152,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",C_TDMO,6681.952403531361,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,153,Retail trade services of motor fuel,C_TDFU,57894.90543201378,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,154,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",C_TDWH,6216.170686133469,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,155,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",C_TDRT,6483.902263560558,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,156,Hotel and restaurant services (55),C_HORE,5206.648996375781,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,157,Railway transportation services,C_TRAI,97489.38580235362,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,158,Other land transportation services,C_TLND,8190.586260553749,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,159,Transportation services via pipelines,C_TPIP,688767.2790451782,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,160,Sea and coastal water transportation services,C_TWAS,19284716.915441163,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,161,Inland water transportation services,C_TWAI,12327401.021154718,kg CO2e/M.EUR,2022,3
EXIOBASE,TW,台灣,162,Air transport services (62),C_TAIR,2846343.2283527968,kg CO2e/M.EUR,2022,3
