emission_factor_id,source_database,category_code,category_name_en,category_name_zh,activity_type_en,activity_type_zh,scope3_category,unit,emission_factor,co2_emission,ch4_emission,n2o_emission,geographic_scope,year,tier_level,data_quality,gwp_version,source_url,license,notes,search_text
LEGACY_FOOTPRINTCALC_006276,FootprintCalc,MERSAWA_FSC/PEFC_640_KG/M3,Mersawa FSC/PEFC 640 (kg/m3),,Materials & Chemicals,,1,kg CO2e/kg,0.305,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Mersawa FSC/PEFC 640 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006277,FootprintCalc,MERSAWA_NATURAL_FOREST_640_KG/M3,Mersawa natural forest 640 (kg/m3),,Materials & Chemicals,,1,kg CO2e/kg,3.755,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Mersawa natural forest 640 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006278,FootprintCalc,METHANOL,Methanol,,Materials & Chemicals,,1,kg CO2e/kg,0.947,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Methanol Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006279,FootprintCalc,METHOXYCHLOR_11'-222-TRICHLOROETHANE-11-DIYL,"Methoxychlor (1,1'-(2,2,2-Trichloroethane-1,1-diyl)bis(4-met",,Materials & Chemicals,,1,kg CO2e/kg,4.568,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Methoxychlor (1,1'-(2,2,2-Trichloroethane-1,1-diyl)bis(4-met Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006280,FootprintCalc,METHYL_ACETATE,Methyl acetate,,Materials & Chemicals,,1,kg CO2e/kg,1.016,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Methyl acetate Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006281,FootprintCalc,METHYL_ETHYL_KETONE,Methyl ethyl ketone,,Materials & Chemicals,,1,kg CO2e/kg,1.016,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Methyl ethyl ketone Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006282,FootprintCalc,METHYL_FORMATE,Methyl formate,,Materials & Chemicals,,1,kg CO2e/kg,2.554,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Methyl formate Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006283,FootprintCalc,METHYL_PARATHION_OO-DIMETHYL_O-4-NITROPHENYL_PHO,"Methyl parathion (O,O-Dimethyl O-4-nitrophenyl phosphorothi",,Materials & Chemicals,,1,kg CO2e/kg,6.627,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,"Methyl parathion (O,O-Dimethyl O-4-nitrophenyl phosphorothi Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg"
LEGACY_FOOTPRINTCALC_006284,FootprintCalc,METHYLAMINE,Methylamine,,Materials & Chemicals,,1,kg CO2e/kg,3.652,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Methylamine Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006285,FootprintCalc,METHYLCYCLOHEXANE,Methylcyclohexane,,Materials & Chemicals,,1,kg CO2e/kg,4.927,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Methylcyclohexane Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
