Impact factor,Unit,Carbon footprint (kg CO2e),Eco-costs(euro),Source
"Aubergine (eggplant), greenhouse",kg,2.428,0.47,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
Autogenuous welding Al 1,m,0.595,0.1,Autogenuous welding process; aluminium sheet 1 mm; butt joint; energy per meter joint; no emissions available
Autogenuous welding Al 2,m,1.622,0.28,Autogenuous welding process; aluminium sheet 2 mm; butt joint; energy per meter joint; no emissions available
Autogenuous welding Al 3,m,2.541,0.44,Autogenuous welding process; aluminium sheet 3 mm; butt joint; energy per meter joint; no emissions available
Avocado (Israel) excl transport,kg,0.226,1.12,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
Avodire FSC/PEFC 550 (kg/m3),kg,0.243,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Avodire natural forest 550 (kg/m3),kg,3.693,4.98,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Azobé FSC/PEFC 1060 (kg/m3),kg,0.228,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Azobé natural forest 1060 (kg/m3),kg,3.678,5.11,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Baboen FSC/PEFC 410 (kg/m3),kg,0.35,0.09,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Baboen natural forest 410 (kg/m3),kg,3.8,9.51,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Baking (1.5 MJe per kg product),kg,0.141,0.03,0
Balsa FSC/PEFC 150 (kg/m3),kg,0.529,0.14,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Balsa natural forest 150 (kg/m3),kg,3.979,41.39,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Bamboo (local at forest road, China)",kg,0.139,0.03,#VALUE!
Banana (Colombia) excl transport,kg,0.084,0.04,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
Barge 1475 dwt,tkm,0.02,0.01,information RWS the Netherlands for European inland vessels; example AVV vessel type M7
Barium,kg,3.037,0.82,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- . Table S38. hardly no recycling, no data in RMIS – Raw Materials Information System, assesed 2023-07-13"
"Barium Ferrite magnet, ceramic 4 MGOe",kg,6.097,1.11,"Cullit BV and Graham CD. Introducttion to magnetic materials 2nd edition, Wiley"
Beans canned,kg,1.327,0.58,copy agri-footprint
"Beech, European FSC/PEFC 710 (kg/m3)",kg,0.171,0.04,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Beef tallow,kg,2.575,0.36,#VALUE!
"Beef, low quality hamburger fresh",kg,3.439,4.25,Danish Food LCA data; Dalgaard and Halberg (2004 and Thrane (2004)
"Beef, steak fresh",kg,143.729,52.75,Danish Food LCA data; Dalgaard and Halberg (2004 and Thrane (2004)
"Beef, tenderloin fresh",kg,246.524,90.48,Danish Food LCA data; Dalgaard and Halberg (2004 and Thrane (2004)
Bell pepper fresh from greenhouse,kg,1.289,0.23,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
"Benomyl (1-(Butylcarbamoyl)-1H-1,3-benzimidazol-2-yl methylc",kg,17.075,2.78,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
"Bentazone (3-isopropyl-2,1,3-benzothiadiazine-4-one-2,2-diox",kg,17.77,3.06,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Benzal chloride,kg,2.137,0.82,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Benzaldehyde,kg,3.898,1.97,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Benzene,kg,1.86,0.32,0
Benzene chlorination (per kg benzene),kg,1.966,0.37,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Benzyl alcohol,kg,3.985,1.41,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Benzyl chloride,kg,2.059,0.64,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Berylium,kg,559.97,365.51,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- . Table S38. hardly no recycling, no data in RMIS – Raw Materials Information System, assesed 2023-07-13"
"BEV, lease segment A (14.86 kWh/100km), WTW CO2",m,0,0,"Dutch TNO report: ""Handreiking TCO-berekening voor personenauto's  Oktober 2021"", page 6"
"BEV, lease segment B (15.78 kWh/100km), WTW CO2",m,0,0,"Dutch TNO report: ""Handreiking TCO-berekening voor personenauto's  Oktober 2021"", page 6"
"BEV, lease segment C (16.98 kWh/100km), WTW CO2",m,0,0,"Dutch TNO report: ""Handreiking TCO-berekening voor personenauto's  Oktober 2021"", page 6"
"BEV, lease segment D (17.98 kWh/100km), WTW CO2",m,0,0,"Dutch TNO report: ""Handreiking TCO-berekening voor personenauto's  Oktober 2021"", page 6"
"BEV, lease segment E (23.83 kWh/100km), WTW CO2",m,0,0,"Dutch TNO report: ""Handreiking TCO-berekening voor personenauto's  Oktober 2021"", page 6"
