Impact factor,Unit,Carbon footprint (kg CO2e),Eco-costs(euro),Source
Electricity Solomon Islands production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Somalia production,MJ,0.201,0.04,for detailed calculations see excel-electricity-JV 
Electricity South Africa production,MJ,0.254,0.04,for detailed calculations see excel-electricity-JV 
Electricity South Carolina production,MJ,0.09,0.03,for detailed calculations see excel-electricity-JV 
Electricity South Dakota production,MJ,0.05,0.01,for detailed calculations see excel-electricity-JV 
Electricity South Korea production,MJ,0.153,0.03,for detailed calculations see excel-electricity-JV 
Electricity South Sudan production,MJ,0.218,0.04,for detailed calculations see excel-electricity-JV 
Electricity Spain (2019),MJ,0.073,0.02,for detailed calculations see Global Market Mix excel 
Electricity Spain consumption,MJ,0.079,0.02,for detailed calculations see excel-electricity-JV 
Electricity Spain production,MJ,0.079,0.02,for detailed calculations see excel-electricity-JV 
Electricity Sri Lanka production,MJ,0.153,0.03,for detailed calculations see excel-electricity-JV 
Electricity Sudan production,MJ,0.08,0.01,for detailed calculations see excel-electricity-JV 
Electricity Suriname production,MJ,0.111,0.02,for detailed calculations see excel-electricity-JV 
Electricity Sweden (2019),MJ,0.005,0.01,for detailed calculations see Global Market Mix excel 
Electricity Sweden consumption,MJ,0.005,0.01,for detailed calculations see excel-electricity-JV 
Electricity Sweden production,MJ,0.005,0.01,for detailed calculations see excel-electricity-JV 
Electricity Syria production,MJ,0.191,0.04,for detailed calculations see excel-electricity-JV 
Electricity Taiwan production,MJ,0.201,0.04,for detailed calculations see excel-electricity-JV 
Electricity Tajikistan production,MJ,0.024,0,for detailed calculations see excel-electricity-JV 
Electricity Tamil Nadu production,MJ,0.173,0.03,for detailed calculations see excel-electricity-JV 
Electricity Tanzania production,MJ,0.117,0.02,for detailed calculations see excel-electricity-JV 
Electricity Tennessee production,MJ,0.114,0.03,for detailed calculations see excel-electricity-JV 
Electricity Texas production,MJ,0.152,0.03,for detailed calculations see excel-electricity-JV 
Electricity Thailand production,MJ,0.179,0.03,for detailed calculations see excel-electricity-JV 
Electricity Tianjin production,MJ,0.273,0.04,for detailed calculations see excel-electricity-JV 
Electricity Togo production,MJ,0.155,0.03,for detailed calculations see excel-electricity-JV 
Electricity Tonga production,MJ,0.197,0.04,for detailed calculations see excel-electricity-JV 
Electricity Trinidad and Tobago production,MJ,0.188,0.03,for detailed calculations see excel-electricity-JV 
Electricity Tunisia production,MJ,0.18,0.03,for detailed calculations see excel-electricity-JV 
Electricity Turkey production,MJ,0.147,0.02,for detailed calculations see excel-electricity-JV 
Electricity Turkmenistan production,MJ,0.188,0.03,for detailed calculations see excel-electricity-JV 
Electricity Turks and Caicos Islands production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity U.S. Pacific Islands production,MJ,0,0,for detailed calculations see excel-electricity-JV 
Electricity Uganda production,MJ,0.009,0,for detailed calculations see excel-electricity-JV 
Electricity UK (2019),MJ,0.079,0.02,for detailed calculations see Global Market Mix excel 
Electricity Ukraine production,MJ,0.07,0.03,for detailed calculations see excel-electricity-JV 
Electricity United Arab Emirates production,MJ,0.156,0.03,for detailed calculations see excel-electricity-JV 
Electricity United Kingdom consumption,MJ,0.085,0.02,for detailed calculations see excel-electricity-JV 
Electricity United Kingdom production,MJ,0.085,0.02,for detailed calculations see excel-electricity-JV 
Electricity United States production,MJ,0.146,0.03,for detailed calculations see excel-electricity-JV 
Electricity United States Virgin Islands production,MJ,0.215,0.04,for detailed calculations see excel-electricity-JV 
Electricity Uruguay production,MJ,0.032,0.01,for detailed calculations see excel-electricity-JV 
Electricity USA (2019),MJ,0.134,0.03,for detailed calculations see Global Market Mix excel 
Electricity Utah production,MJ,0.23,0.04,for detailed calculations see excel-electricity-JV 
Electricity Uzbekistan production,MJ,0.187,0.03,for detailed calculations see excel-electricity-JV 
Electricity Vanuatu production,MJ,0.162,0.03,for detailed calculations see excel-electricity-JV 
Electricity Venezuela production,MJ,0.071,0.01,for detailed calculations see excel-electricity-JV 
Electricity Vermont production,MJ,0.005,0,for detailed calculations see excel-electricity-JV 
Electricity Vietnam production,MJ,0.137,0.02,for detailed calculations see excel-electricity-JV 
Electricity Virginia production,MJ,0.114,0.03,for detailed calculations see excel-electricity-JV 
Electricity Washington production,MJ,0.038,0.01,for detailed calculations see excel-electricity-JV 
Electricity West Virginia production,MJ,0.278,0.04,for detailed calculations see excel-electricity-JV 
Electricity Western Africa production,MJ,0.001,0,for detailed calculations see excel-electricity-JV 
Electricity Wisconsin production,MJ,0.19,0.03,for detailed calculations see excel-electricity-JV 
Electricity World production,MJ,0.152,0.03,for detailed calculations see excel-electricity-JV 
Electricity Wyoming production,MJ,0.264,0.04,for detailed calculations see excel-electricity-JV 
Electricity Xinjiang production,MJ,0.221,0.03,for detailed calculations see excel-electricity-JV 
Electricity Yemen production,MJ,0.181,0.03,for detailed calculations see excel-electricity-JV 
Electricity Yukon production,MJ,0.032,0.01,for detailed calculations see excel-electricity-JV 
Electricity Yunnan production,MJ,0.024,0,for detailed calculations see excel-electricity-JV 
Electricity Zambia production,MJ,0.022,0,for detailed calculations see excel-electricity-JV 
Electricity Zhejiang production,MJ,0.19,0.03,for detailed calculations see excel-electricity-JV 
Electricity Zimbabwe production,MJ,0.128,0.02,for detailed calculations see excel-electricity-JV 
"Electricity, medium voltage {ENTSO-E}| market group for elec",MJ,0.094,0.03,"ELCD, obsolete"
"Electricity, medium voltage {NL}| market for electricity, me",MJ,0.14,0.03,"ELCD, obsolete"
Electroplating Chrome,m2,2.851,1.41,"1m2 area double sided, 10um chromium electroplating, metals  included."
Electroplating Nickel,m2,1.932,1.64,"1m2 area double sided, 6um nickel electroplating, nickel included. "
"Electroplating Zinc, incl. outside use, per 10 years",m2,2.894,1.26,"1m2 area single sided Zinc electroplating 10 micrometer, zinc included, including emissions to water during 10 years (approx 1 micrometer per year). "
"Electroplating Zinc, inside use or painted (5 micron)",m2,1.451,0.45,"1m2 area single sided Zinc electroplating 5 micrometer, zinc included"
Elm FSC/PEFC 650 (kg/m3),kg,0.275,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Emeri FSC/PEFC 515 (kg/m3),kg,0.251,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Emeri natural forest 515 (kg/m3),kg,3.701,7.63,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Emien FSC/PEFC 360 (kg/m3),kg,0.284,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Emien natural forest 360 (kg/m3),kg,3.734,7.33,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
"Energy gas, condensing, low NOx (=heat)",MJ,0.082,0.01,calculated from Idemat2023 Heat from natural gas for chemical processes
EPDM (ethylene propylene diene monomer rubber),kg,2.432,1.26,"Chalmers University, SPINE"
Epichlorohydrin,kg,8.914,1.96,EPD epichlorohydrin of Spolchemie. http://lcastudio.cz/dokumenty/epd283%20epichlorhydrin.pdf
Epichlorohydrin co-firing in electrical power plant,kg,-0.012,0.49,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"Epichlorohydrin waste combustion, clean tech, without heat recovery",kg,1.43,0.71,0
Epichlorohydrin waste incineration with electricity,kg,0.636,0.59,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
Epoxies co-firing in electrical power plant,kg,0.048,-0.01,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"Epoxies waste combustion, clean tech, without heat recovery",kg,2.72,0.39,0
Epoxies waste incineration with electricity,kg,1.253,0.17,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
Epoxy resin,kg,2.241,1.04,Plastics Europe LCI database
EPTC ( S-Ethyl dipropylthiocarbamate),kg,7.876,1.31,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Erbium,kg,98.812,212.01,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- "
ethanol,kg,1.45,0.23,"Idemat2023 Ethanol (alcohol), bio-based from agricultural waste, plus a proxi for refining"
"Ethanol (alcohol), bio-based from agricultural waste",kg,1.427,0.22,0
"Ethanol (alcohol), synthetic",kg,1.082,0.17,0
Ethanol from ethylene,kg,1.3,0.21,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Ethyl acetate from ethanol and acetic acid,kg,2.916,0.47,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
"Ethyl acetate, from Butane oxidation",kg,1.016,0.19,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
"Ethyl acetate, from Ethyl Alcohol",kg,2.995,0.48,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Ethylbenzene,kg,2.23,0.33,0
Ethylene,kg,1.58,0.25,0
Ethylene dichloride,kg,1.174,0.22,0
Ethylene glycol diethyl ether,kg,2.49,0.69,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Ethylene glycol dimethyl ether,kg,1.963,0.32,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Ethylene glycol monoethyl ether,kg,1.597,0.26,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
