Product,Category,Total kg CO2e/kg,Data sources
"Tahin, sesame paste",Seasonings and spices,5.54,Data on inputs and outputs of the food processing industry is modelled using: Hetherington et al. (2012).
Sundried tomatoes,Vegetables and vegetable products,2.33,Data on inputs and outputs of the food processing industry is modelled using: Wikipedia (2020); Bahçıvanoğlu (2020).
"Red lentils, dried",Legumes and legume products,2.46,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.
"Ajvar, relish",Vegetables and vegetable products,2.84,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020r); ADEME (2020j); Nemlig (2020s); Christian Chefs International (2020).
Vegan bean paste,Plant products and drinks,1.89,Data on inputs and outputs of the food processing industry is modelled using: Hetherington et al. (2012); Lund L (2019).
"Plant paste, pea protein and mushroom",Plant products and drinks,0.82,Data on inputs and outputs of the food processing industry is modelled using: Veganske Opskrifter (2020); Hetherington et al. (2012).
Chilli cheese tops,"Milk, dairy products and eggs",1.64,Data on inputs and outputs of the food processing industry is modelled using: One Kitchen (2018); Mc Donalds (2020); ADEME (2020c); ADEME (2020j).
Mozarella sticks,"Milk, dairy products and eggs",2.24,Data on inputs and outputs of the food processing industry is modelled using: Djekic et al. (2014); Nielsen et al. (2003).
"Chili con carne, ready meals",Ready meals,25.05,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020u); DEFRA (2009).
"Vegan ball, soy based",Plant products and drinks,0.82,Data on inputs and outputs of the food processing industry is modelled using: Naturli (2020b);ADEME (2020); Davis and Sonesson (2008).
"Vegan schnitzel, soy based",Plant products and drinks,1.95,Data on inputs and outputs of the food processing industry is modelled using: Naturli (2020c); ADEME (2020); Davis and Sonesson U (2008).
"Vegan burger, soy based",Plant products and drinks,0.83,Data on inputs and outputs of the food processing industry is modelled using: Naturli (2020d); ADEME (2020); Davis and Sonesson (2008).
"Vegan minced, pea based",Plant products and drinks,0.84,Data on inputs and outputs of the food processing industry is modelled using: Hetherington et al. (2012); Naturli (2020e).
"Vegan sausage, soy based",Plant products and drinks,1.58,Data on inputs and outputs of the food processing industry is modelled using: Naturli (2020f);ADEME (2020c);Davis and Sonesson (2008).
"Vegan nugget, soy based",Plant products and drinks,2.06,Data on inputs and outputs of the food processing industry is modelled using: Nemlig (2020t); ADEME (2020c); Davis and Sonesson (2008).
Vegan pulled beans,Plant products and drinks,2.15,Data on inputs and outputs of the food processing industry is modelled using: Hetherington et al. (2012); ADEME (2020c); Nemlig (2020m).
