heading,short number, Simapro group,Unit,Process,Total eco-cost (euro),kgCO2e,,,
chemicals,A.030.18.150,"Materials, chemicals, organic, solvents",kg ,Methylcyclohexane,1.033360018,5.556899699,,,
chemicals,A.030.18.151,"Materials, chemicals, organic, solvents",kg ,Monochlorobenzene,2.666453168,14.20834135,,,
chemicals,A.030.18.152,"Materials, chemicals, organic, solvents",kg ,N-Dimethyl-2-pyrrolidone,1.088447702,6.561081429,,,
chemicals,A.030.18.153,"Materials, chemicals, organic, solvents",kg ,"N,N-Dimethylformamide",0.452693916,1.975563233,,,
chemicals,A.030.18.154,"Materials, chemicals, organic, solvents",kg ,o-dichlorobenzene,2.654577029,14.14505865,,,
chemicals,A.030.18.155,"Materials, chemicals, organic, solvents",kg ,p-dichlorobenzene,2.658082477,14.16373759,,,
chemicals,A.030.18.156,"Materials, chemicals, organic, solvents",kg ,Propanal,0.637630342,3.927711579,,,
chemicals,A.030.18.157,"Materials, chemicals, organic, solvents",kg ,Propanol,0.938621571,4.805676391,,,
chemicals,A.030.18.158,"Materials, chemicals, organic, solvents",kg ,Propylene ammooxidation,0.939652882,4.628202105,,,
chemicals,A.030.18.159,"Materials, chemicals, organic, solvents",kg ,Propylene hydroformylation,1.191508043,8.01542782,,,
chemicals,A.030.18.160,"Materials, chemicals, organic, solvents",kg ,Tetrahydrofuran,0.99017357,6.192880226,,,
chemicals,A.030.22.101,"Materials, chemicals, pesticides ",kg ,Pesticides (unspecified),4.869617603,21.34276842,,,
chemicals,A.030.23.101,"Materials, chemicals, pesticides, fungicides",kg ,"Benomyl (1-(Butylcarbamoyl)-1H-1,3-benzimidazol-2-yl methylcarbamate)",3.111687088,19.25719474,,,
chemicals,A.030.23.102,"Materials, chemicals, pesticides, fungicides",kg ,"Captan ((3aR,7aS)-2-[(Trichloromethyl)sulfanyl]-3a,4,7,7a-tetrahydro-1H-isoindole-1,3",0.885117396,5.517229323,,,
chemicals,A.030.23.103,"Materials, chemicals, pesticides, fungicides",kg ,Ferbam (Iron(III) Dimethyldithiocarbamate),0.703097392,4.614469624,,,
chemicals,A.030.23.104,"Materials, chemicals, pesticides, fungicides",kg ,"Maneb ( [[2-[(Dithio Carboxyl)amino]ethyl]carbodithioate]](2-)-kS,kS']manganese)",0.807028254,4.810972556,,,
chemicals,A.030.24.101,"Materials, chemicals, pesticides, herbicides",kg ,"2,4-D (2,4-Dichlorophenoxyacetic acid)",0.914233967,5.545399023,,,
chemicals,A.030.24.102,"Materials, chemicals, pesticides, herbicides",kg ,"2,4,5-T (2,4,5-Trichlorophenoxyacetic acid)",1.036928755,6.527839173,,,
chemicals,A.030.24.103,"Materials, chemicals, pesticides, herbicides",kg ,"Alachlor (2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide)",2.051751667,12.52493684,,,
chemicals,A.030.24.104,"Materials, chemicals, pesticides, herbicides",kg ,"Bentazone (3-isopropyl-2,1,3-benzothiadiazine-4-one-2,2-dioxide)",3.411884852,20.04081203,,,
chemicals,A.030.24.105,"Materials, chemicals, pesticides, herbicides",kg ,"Butylate (Butylated hydroxytoluene, 2,6-Di-tert-butyl-4-methylphenol)",0.931962307,5.699087895,,,
chemicals,A.030.24.106,"Materials, chemicals, pesticides, herbicides",kg ,"Chloramben (3-Amino-2,5-dichlorobenzoic acid)",0.78551556,4.688528797,,,
chemicals,A.030.24.107,"Materials, chemicals, pesticides, herbicides",kg ,"Chlorsulfuron (2-chloro-N-[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)carbamoyl]benzene-1",3.079443452,19.40544737,,,
